epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,214.928,0.74946,0.8133,1.14681,0.94629,0.39073,0.42484,0.27396,1.82433,2.47301,1.59434,2.84938e-05,2.84938e-05,2.84938e-05
64,218.308,0.6613,0.69159,1.0837,0.94629,0.39073,0.42484,0.27396,1.82433,2.47301,1.59434,2.82112e-05,2.82112e-05,2.82112e-05
65,221.765,0.58745,0.83329,1.18255,0.94629,0.39073,0.42484,0.27396,1.82433,2.47301,1.59434,2.7905e-05,2.7905e-05,2.7905e-05
66,225.211,0.63762,0.90341,1.08566,0.94568,0.39047,0.42168,0.30783,1.83791,2.50874,1.60548,2.75753e-05,2.75753e-05,2.75753e-05
67,228.605,0.69297,1.03695,1.07203,0.94568,0.39047,0.42168,0.30783,1.83791,2.50874,1.60548,2.7222e-05,2.7222e-05,2.7222e-05
68,231.979,0.93936,1.73069,1.34307,0.94568,0.39047,0.42168,0.30783,1.83791,2.50874,1.60548,2.68451e-05,2.68451e-05,2.68451e-05
69,235.431,0.62437,0.98984,1.13249,0.94562,0.39163,0.42131,0.29256,1.85324,2.5106,1.60582,2.64447e-05,2.64447e-05,2.64447e-05
70,238.797,0.88052,0.87093,1.36031,0.94562,0.39163,0.42131,0.29256,1.85324,2.5106,1.60582,2.60207e-05,2.60207e-05,2.60207e-05
71,242.192,1.00223,1.29509,1.37863,0.94562,0.39163,0.42131,0.29256,1.85324,2.5106,1.60582,2.55731e-05,2.55731e-05,2.55731e-05
72,245.654,0.58396,0.60407,1.04543,0.94685,0.39006,0.42131,0.29252,1.87521,2.56192,1.62947,2.5102e-05,2.5102e-05,2.5102e-05
73,249.068,0.6663,0.89332,1.05324,0.94685,0.39006,0.42131,0.29252,1.87521,2.56192,1.62947,2.46073e-05,2.46073e-05,2.46073e-05
74,252.423,0.66013,0.68966,1.16115,0.94685,0.39006,0.42131,0.29252,1.87521,2.56192,1.62947,2.40891e-05,2.40891e-05,2.40891e-05
75,255.847,0.68922,0.56765,1.12397,0.94619,0.39021,0.42186,0.29266,1.84868,2.52679,1.58338,2.35472e-05,2.35472e-05,2.35472e-05
76,259.243,0.58084,0.84114,1.10149,0.94619,0.39021,0.42186,0.29266,1.84868,2.52679,1.58338,2.29819e-05,2.29819e-05,2.29819e-05
77,262.649,0.61632,0.58843,1.07483,0.94619,0.39021,0.42186,0.29266,1.84868,2.52679,1.58338,2.23929e-05,2.23929e-05,2.23929e-05
78,266.109,0.79087,1.09075,1.13932,0.94542,0.39115,0.42141,0.29324,1.81623,2.46554,1.52958,2.17805e-05,2.17805e-05,2.17805e-05
79,269.49,0.58215,0.7233,1.09877,0.94542,0.39115,0.42141,0.29324,1.81623,2.46554,1.52958,2.11444e-05,2.11444e-05,2.11444e-05
80,272.944,0.64529,0.78412,1.10708,0.94542,0.39115,0.42141,0.29324,1.81623,2.46554,1.52958,2.04848e-05,2.04848e-05,2.04848e-05
81,276.422,0.50908,0.4642,0.98639,0.93989,0.38918,0.423,0.29453,1.82388,2.46133,1.53707,1.98016e-05,1.98016e-05,1.98016e-05
82,279.846,0.75043,0.69521,1.15429,0.93989,0.38918,0.423,0.29453,1.82388,2.46133,1.53707,1.90949e-05,1.90949e-05,1.90949e-05
83,283.272,0.80104,0.77715,1.19305,0.93989,0.38918,0.423,0.29453,1.82388,2.46133,1.53707,1.83646e-05,1.83646e-05,1.83646e-05
84,287.035,0.59114,0.59973,1.02906,0.93772,0.38807,0.42131,0.29353,1.83135,2.49437,1.54483,1.76107e-05,1.76107e-05,1.76107e-05
85,290.767,0.62436,0.78821,1.14773,0.93772,0.38807,0.42131,0.29353,1.83135,2.49437,1.54483,1.68333e-05,1.68333e-05,1.68333e-05
86,294.484,0.85913,0.84141,1.13924,0.93772,0.38807,0.42131,0.29353,1.83135,2.49437,1.54483,1.60323e-05,1.60323e-05,1.60323e-05
87,298.256,0.66204,0.78422,1.01891,0.93772,0.38807,0.42131,0.29353,1.83135,2.49437,1.54483,1.52077e-05,1.52077e-05,1.52077e-05
88,302.09,0.79071,0.84779,1.38466,0.93854,0.38724,0.42032,0.29349,1.80794,2.5165,1.51574,1.43596e-05,1.43596e-05,1.43596e-05
89,305.838,1.07639,1.03775,1.51174,0.93854,0.38724,0.42032,0.29349,1.80794,2.5165,1.51574,1.34879e-05,1.34879e-05,1.34879e-05
90,309.751,0.58547,0.65017,0.97917,0.93854,0.38724,0.42032,0.29349,1.80794,2.5165,1.51574,1.25927e-05,1.25927e-05,1.25927e-05
91,313.669,0.5245,0.50913,0.92989,0.93854,0.38724,0.42032,0.29349,1.80794,2.5165,1.51574,1.16739e-05,1.16739e-05,1.16739e-05
92,317.249,0.6736,0.71574,0.95511,0.94435,0.38776,0.42058,0.29215,1.79756,2.57076,1.50038,1.07315e-05,1.07315e-05,1.07315e-05
93,320.611,0.41099,0.47572,0.95445,0.94435,0.38776,0.42058,0.29215,1.79756,2.57076,1.50038,9.76562e-06,9.76562e-06,9.76562e-06
94,323.97,0.54627,0.5322,0.88874,0.94435,0.38776,0.42058,0.29215,1.79756,2.57076,1.50038,8.77613e-06,8.77613e-06,8.77613e-06
95,327.341,0.43499,0.49857,0.93219,0.94435,0.38776,0.42058,0.29215,1.79756,2.57076,1.50038,7.76308e-06,7.76308e-06,7.76308e-06
96,330.856,0.45004,0.48481,0.96981,0.94168,0.38333,0.41875,0.29048,1.83143,2.62128,1.54495,6.72648e-06,6.72648e-06,6.72648e-06
97,334.21,0.67419,0.69567,1.02356,0.94168,0.38333,0.41875,0.29048,1.83143,2.62128,1.54495,5.6663e-06,5.6663e-06,5.6663e-06
98,337.596,0.48066,0.53565,0.91088,0.94168,0.38333,0.41875,0.29048,1.83143,2.62128,1.54495,4.58257e-06,4.58257e-06,4.58257e-06
99,341.08,0.56098,0.61012,0.95604,0.94168,0.38333,0.41875,0.29048,1.83143,2.62128,1.54495,3.47528e-06,3.47528e-06,3.47528e-06
100,344.877,0.46349,0.4902,0.969,0.94814,0.38151,0.41899,0.29,1.80539,2.66409,1.50639,2.34442e-06,2.34442e-06,2.34442e-06
